match_id,winner,map,region,date_time
1076540666,1,Ranked Ice Mines,NA,3/27/2021 5:17:03 AM
1076540706,1,Ranked Stone Keep,Southeast Asia,3/27/2021 5:17:17 AM
1076540735,0,Ranked Ascension Peak,Latin America North,3/27/2021 5:17:29 AM
1076540778,0,Ranked Ice Mines,EU,3/27/2021 5:17:51 AM
1076540835,1,Ranked Serpent Beach,NA,3/27/2021 5:18:12 AM
1076540884,0,Ranked Frog Isle,NA,3/27/2021 5:18:31 AM
1076540979,0,Ranked Ice Mines,Latin America North,3/27/2021 5:19:09 AM
1076540986,1,Ranked Frozen Guard,EU,3/27/2021 5:19:11 AM
1076541050,0,Ranked Splitstone Quarry,Latin America North,3/27/2021 5:19:37 AM
1076541054,1,Ranked Jaguar Falls,NA,3/27/2021 5:19:39 AM
1076541059,0,Ranked Ice Mines,EU,3/27/2021 5:19:41 AM
1076541060,0,Ranked Ice Mines,Latin America North,3/27/2021 5:19:41 AM
1076541063,0,Ranked Ascension Peak,Brazil,3/27/2021 5:19:43 AM
1076541088,1,Ranked Timber Mill,NA,3/27/2021 5:19:51 AM
1076554881,1,Ranked Warder's Gate,Brazil,3/27/2021 7:00:47 AM
1076554947,0,Ranked Splitstone Quarry,NA,3/27/2021 7:01:21 AM
1076555057,1,Ranked Warder's Gate,NA,3/27/2021 7:02:12 AM
1076555082,1,Ranked Splitstone Quarry,Latin America North,3/27/2021 7:02:25 AM
1076555152,0,Ranked Splitstone Quarry,Brazil,3/27/2021 7:03:04 AM
1076555153,1,Ranked Frog Isle,Southeast Asia,3/27/2021 7:03:05 AM
1076555160,1,Ranked Ice Mines,EU,3/27/2021 7:03:09 AM
1076555180,0,Ranked Stone Keep,Latin America North,3/27/2021 7:03:19 AM
1076555215,0,Ranked Jaguar Falls,Latin America North,3/27/2021 7:03:33 AM
1076555262,1,Ranked Stone Keep,Southeast Asia,3/27/2021 7:04:03 AM
1076555316,0,Ranked Serpent Beach,NA,3/27/2021 7:04:31 AM
1076555341,1,Ranked Ice Mines,EU,3/27/2021 7:04:47 AM
